Team,Date,Opponents,Outcome,2P,2P%,3P,3P%,FT,FT%,Score,Lost,Rebound,Assist,TO,Steal,Block,Foul,Result,Round,Home/Away
Dreamers,2022/3/19,Lioneers,74 - 97,19 - 50,38,11 - 35,31.4,26 - 32,81.3,97,74,50,13,12,9,9,24,W,Round 14,A
Dreamers,2022/3/20,Steelers,88 - 109,32 - 59,54.2,12る31ら,38.7,9る14ら,64.3,109,88,54,22,16,6,7,23,W,Round 14,A
Dreamers,2022/3/26,Steelers,80 - 95,19 - 46,41.3,9る28ら,32.1,15 - 26,57.7,80,95,45,13,23,10,5,22,L,Round 15,H
Dreamers,2022/4/3,Pilots,77 - 111,26 - 44,59.1,14 - 47,29.8,17 - 27,63,111,77,64,26,14,5,11,17,W,Round 16,A
Dreamers,2022/4/4,Kings,93 - 91,25 - 52,48.1,8 - 40,20,17 - 27,63,91,93,50,13,15,8,4,28,L,Round 16,A
Dreamers,2022/4/9,Lioneers,78 - 96,15 - 48,31.3,11 - 44,25,15 - 23,65.2,78,96,42,17,19,18,2,26,L,Round 17,H
Dreamers,2022/4/12,Pilots,92 - 87,26 - 54,48.1,6 - 37,16.2,22 - 30,73.3,92,87,53,14,10,10,6,21,W,Round 17,H
Dreamers,2022/4/16,Kings,126 - 87,29 - 57,50.9,16 - 33,48.5,20 - 25,80,126,87,61,30,13,12,1,19,W,Round 18,H
Dreamers,2022/4/23,Fubon Braves,87 - 124,21 - 53,39.6,21 - 38,55.3,19 - 24,79.2,124,87,55,21,9,8,4,25,W,Round 19,A
Dreamers,2022/4/24,Pilots,97 - 104,21 - 40,52.5,16 - 46,34.8,14 - 18,77.8,104,97,39,20,12,9,2,18,W,Round 19,A
Dreamers,2022/4/29,Lioneers,92 - 85,23 - 51,45.1,12 - 37,32.4,10る13ら,76.9,92,85,42,20,19,14,8,19,W,Round 20,H
Dreamers,2022/5/1,Steelers,103 - 120,21 - 40,52.5,15 - 39,38.5,16 - 19,84.2,103,120,42,26,22,8,4,25,L,Round 20,H
Dreamers,2022/5/13,Lioneers,89 - 84,20 - 54,37,9 - 37,24.3,17 - 25,68,84,89,54,14,9,8,7,22,L,Round 21,A
Dreamers,2022/5/15,Fubon Braves,104 - 100,21 - 45,46.7,16 - 40,40,14 - 21,66.7,104,100,51,23,15,6,4,20,W,Round 21,H
Dreamers,2022/5/27,Pilots,110 - 76,32 - 55,58.2,10 - 39,25.6,16 - 22,72.7,110,76,54,24,16,16,3,17,W,Round 23,H
Dreamers,2022/5/28,Kings,100 - 85,17 - 49,34.7,16 - 43,37.2,18 - 24,75,100,85,52,21,9,9,3,18,W,Round 23,H
Team,Date,Opponents,Outcome,2P,2P%,3P,3P%,FT,FT%,Score,Lost,Rebound,Assist,TO,Steal,Block,Foul,Result,Round,Home/Away
Dreamers,2022/11/12,Steelers,76 - 84,22 - 42,52.38,9 - 34,26.47,13 - 24,54.17,84,76,55,21,14,7,8,8,W,Round 2 ,A
Dreamers,2022/11/13,Fibon Braves,108 - 75,15 - 42,35.71,9 - 43,20.93,18 - 30,60,75,108,44,11,13,11,7,19,L,Round 3 ,A
Dreamers,2022/11/19,Kings,101 - 89,25 - 54,46.3,8る30ら,26.67,15 - 19,78.95,89,101,45,14,18,12,3,12,L,Round 4 ,A
Dreamers,2022/11/20,Pilots,77 - 88,17 - 47,36.17,15 - 35,42.86,9る14ら,64.29,88,77,53,14,14,5,6,21,W,Round 5 ,A
Dreamers,2022/11/27,Kings,102 - 82,30 - 58,51.72,10 - 36,27.78,12る20ら,60,102,82,61,14,14,15,4,16,W,Round 6 ,H
Dreamers,2022/12/3,Lioneers,77 - 82,23 - 52,44.23,6 - 32,18.75,13 - 18,72.22,77,82,57,14,16,4,4,21,L,Round 7 ,H
Dreamers,2022/12/6,Fibon Braves,90 - 87,20 - 45,44.44,11 - 43,25.58,14 - 24,58.33,87,90,68,19,27,8,7,28,L,Round 8 ,A
Dreamers,2022/12/11,Fibon Braves,97 - 94,18 - 37,48.65,15 - 42,35.71,16 - 22,72.73,97,94,61,23,22,6,6,21,W,Round 10,H
Dreamers,2022/12/18,Pilots,80 - 84,16 - 39,41.03,12 - 36,33.33,12る15ら,80,80,84,49,14,19,13,6,13,L,Round 12,H
Dreamers,2022/12/24,Steelers,94 - 117,20 - 45,44.44,20 - 46,43.48,17 - 25,68,117,94,54,24,11,11,5,24,W,Round 13,A
Dreamers,2022/12/25,Kings,99 - 90,24 - 49,48.98,10 - 34,29.41,12る17ら,70.59,90,99,46,17,15,6,9,15,L,Round 14,A
Dreamers,2022/12/31,Lioneers,97 - 102,24 - 50,48,8 - 32,25,25 - 32,78.13,97,102,54,19,17,6,4,24,L,Round 15,H
