Team,Date,Opponents,Outcome,2P,2P%,3P,3P%,FT,FT%,Score,Lost,Rebound,Assist,TO,Steal,Block,Foul,Result,Round,Home/Away
Kings,2022/4/17,Lioneers,123 - 116,21 - 56,37.5,18 - 42,42.9,20 - 29,69,116,123,46,35,17,10,7,31,L,Round 18,A
Kings,2022/4/23,Lioneers,110 - 92,20 - 42,47.6,13 - 50,26,13 - 21,61.9,92,110,49,20,13,12,2,15,L,Round 19,A
Kings,2022/4/24,Steelers,101 - 92,14 - 32,43.8,16 - 53,30.2,16 - 24,66.7,92,101,50,23,14,6,2,16,L,Round 19,A
Kings,2022/4/30,Steelers,80 - 100,16 - 35,45.7,10 - 39,25.6,18 - 26,69.2,80,100,36,17,19,13,3,13,L,Round 20,H
Kings,2022/5/14,Steelers,76 - 106,18 - 28,64.3,21 - 53,39.6,7る10ら,70,106,76,49,30,13,10,6,11,W,Round 21,A
Kings,2022/5/15,Lioneers,122 - 113,21 - 52,40.4,15 - 52,28.8,26 - 36,72.2,113,122,53,28,17,14,4,21,L,Round 21,A
Kings,2022/5/18,Fubon Braves,98 - 103,25 - 51,49,15 - 37,40.5,3る7ら,42.9,98,103,37,29,14,12,1,13,L,Round 22,H
Kings,2022/5/28,Dreamers,100 - 85,29 - 54,53.7,6 - 38,15.8,9る16ら,56.3,85,100,60,17,14,5,7,19,L,Round 23,A
Team,Date,Opponents,Outcome,2P,2P%,DJ,3P,FT,FT%,Score,Lost,Rebound,Assist,TO,Steal,Block,Foul,Result,Round,Home/Away
Kings,2022/11/12,Pilots,91 - 104W,26 - 53,49.06,12る30ら,40,16 - 18,88.89,104,91,52,28,18,6,5,12,W,Round 2 ,A
Kings,2022/11/13,Lioneers,78 - 113W,18 - 48,37.5,22 - 42,52.38,11る13ら,84.62,113,78,46,21,15,18,2,18,W,Round 3 ,A
Kings,2022/11/19,Dreamers,101W - 89,26 - 49,53.06,13 - 42,30.95,10る13ら,76.92,101,89,59,25,21,14,2,14,W,Round 4 ,H
Kings,2022/11/25,Fubon Braves,89 - 104W,30 - 63,47.62,12 - 44,27.27,8る11ら,72.73,104,89,66,22,12,11,1,19,W,Round 6 ,A
Kings,2022/11/27,Dreamers,102 - 82L,17 - 46,36.96,11 - 42,26.19,15 - 21,71.43,82,102,61,17,23,12,4,14,L,Round 6 ,A
Kings,2022/12/2,Pilots,88 - 93W,22 - 42,52.38,11 - 38,28.95,16 - 22,72.73,93,88,59,19,22,8,6,18,W,Round 7 ,A
Kings,2022/12/4,Steelers,95L - 115,25 - 58,43.1,10る30ら,33.33,15 - 23,65.22,95,115,50,16,15,7,2,21,L,Round 8 ,H
Kings,2022/12/10,Fubon Braves,103W - 99,27 - 53,50.94,13 - 38,34.21,10る12ら,83.33,103,99,48,25,12,11,6,18,W,Round 9 ,H
Kings,2022/12/17,Pilots,74L - 88,15 - 43,34.88,9 - 34,26.47,17 - 24,70.83,74,88,53,15,19,6,0,11,L,Round 11,H
Kings,2022/12/20,Steelers,100W - 89,31 - 53,58.49,9 - 36,25,11る15ら,73.33,100,89,49,28,15,13,10,16,W,Round 12,H
Kings,2022/12/23,Fubon Braves,106W - 101,21 - 53,39.62,13 - 39,33.33,25 - 32,78.13,106,101,67,25,19,6,7,19,W,Round 13,H
Kings,2022/12/25,Dreamers,99W - 90,31 - 61,50.82,10 - 34,29.41,7る10ら,70,99,90,60,23,14,9,4,17,W,Round 14,H
Kings,2022/12/31,Steelers,86 - 109W,26 - 45,57.78,18 - 45,40,3る6ら,50,109,86,55,30,16,10,10,15,W,Round 15,A
Kings,2023/1/1,Fubon Braves,83 - 95W,28 - 50,56,10る31ら,32.26,9る13ら,69.23,95,83,51,26,17,11,4,12,W,Round 16,H
