Team,Date,Opponents,Outcome,2P,2P%,3P,3P%,FT,FT%,Score,Rebound,Assist,TO,Steal,Block,Foul,Result,Round,Home/Away
Lioneers,2022/3/12,Steelers,103 - 95,27 - 47,57.4,10 - 34,29.4,19 - 37,51.4,103,52,19,15,10,4,31,W,Round 13,H
Lioneers,2022/3/19,Dreamers,74 - 97,17 - 45,37.8,8 - 36,22.2,16 - 26,61.5,74,44,17,20,6,4,25,L,Round 14,H
Lioneers,2022/3/25,Pilots,97 - 89,23 - 51,45.1,8 - 25,32,19 - 42,45.2,89,46,16,17,9,3,24,L,Round 15,A
Lioneers,2022/3/27,Steelers,107 - 96,27 - 62,43.5,13 - 32,40.6,14 - 21,66.7,107,57,18,22,6,6,25,W,Round 15,H
Lioneers,2022/4/1,Pilots,116 - 97,35 - 54,64.8,9 - 28,32.1,19 - 25,76,116,50,21,15,10,4,25,W,Round 16,H
Lioneers,2022/4/3,Fubon Braves,114 - 103,31 - 67,46.3,12 - 24,50,16 - 21,76.2,114,55,19,10,8,2,13,W,Round 16,H
Lioneers,2022/4/9,Dreamers,78 - 96,24 - 48,50,10 - 28,35.7,18 - 27,66.7,96,55,17,26,13,3,19,W,Round 17,A
Lioneers,2022/4/10,Fubon Braves,91 - 98,32 - 59,54.2,6 - 22,27.3,16 - 24,66.7,98,58,24,20,6,4,18,W,Round 17,A
Lioneers,2022/4/17,Kings,123 - 116,35 - 61,57.4,8 - 30,26.7,29 - 42,69,123,60,28,16,8,4,24,W,Round 18,H
Lioneers,2022/4/23,Kings,110 - 92,31 - 62,50,13 - 28,46.4,9 - 14,64.3,110,57,28,17,7,3,21,W,Round 19,H
Lioneers,2022/4/29,Dreamers,92 - 85,22 - 56,39.3,11 - 31,35.5,8 - 21,38.1,85,52,19,25,9,3,19,L,Round 20,A
Lioneers,2022/5/1,Pilots,94 - 86,23 - 63,36.5,9 - 25,36,21 - 30,70,94,54,19,10,11,2,17,W,Round 20,H
Lioneers,2022/5/13,Dreamers,89 - 84,23 - 59,39,9 - 28,32.1,16 - 35,45.7,89,63,21,13,6,4,20,W,Round 21,H
Lioneers,2022/5/15,Kings,122 - 113,41 - 81,50.6,8 - 22,36.4,16 - 23,69.6,122,61,22,22,9,9,29,W,Round 21,H
Lioneers,2022/5/21,Fubon Braves,108 - 99,24 - 46,52.2,14 - 34,41.2,18 - 20,90,108,40,20,15,10,3,16,W,Round 22,H
Team,Date,Opponents,Outcome,2P,2P%,3P,3P%,FT,FT%,Score,Rebound,Assist,TO,Steal,Block,Foul,Result,Round,Home/Away
Lioneers,2022/11/5,Fubon Braves,94 - 102,25 - 55,45.45,11 - 26,42.31,11 - 17,64.71,94,52,27,27,9,2,18,L,Round 1 ,H
Lioneers,2022/11/13,Kings,78 - 113,18 - 41,43.9,10 - 28,35.71,12 - 18,66.67,78,48,18,33,8,6,10,L,Round 3 ,H
Lioneers,2022/11/19,Steelers,83 - 89,29 - 60,48.33,8 - 24,33.33,7 - 16,43.75,89,53,20,17,7,10,22,W,Round 4 ,A
Lioneers,2022/11/20,Fubon Braves,104 - 108,37 - 68,54.41,8 - 33,24.24,10 - 21,47.62,108,65,22,13,12,7,21,W,Round 5 ,A
Lioneers,2022/11/29,Steelers,102 - 101,36 - 58,62.07,5 - 18,27.78,15 - 30,50,102,49,24,16,10,2,16,W,Round 6 ,H
Lioneers,2022/12/3,Dreamers,77 - 82,27 - 56,48.21,4 - 23,17.39,16 - 25,64,82,50,20,12,6,6,17,W,Round 7 ,A
Lioneers,2022/12/4,Pilots,94 - 80,23 - 55,41.82,8 - 33,24.24,10 - 19,52.63,80,48,13,12,11,2,17,L,Round 8 ,A
Lioneers,2022/12/10,Pilots,79 - 102,17 - 39,43.59,9 - 31,29.03,18 - 37,48.65,79,43,13,17,10,3,15,L,Round 9 ,H
Lioneers,2022/12/18,Fubon Braves,98 - 114,29 - 55,52.73,9 - 33,27.27,13 - 19,68.42,98,42,18,17,9,3,16,L,Round 12,H
Lioneers,2022/12/24,Pilots,60 - 103,16 - 46,34.78,3 - 29,10.34,19 - 31,61.29,60,45,11,25,15,2,24,L,Round 13,H
Lioneers,2022/12/27,Steelers,85 - 109,30 - 66,45.45,8 - 25,32,25 - 39,64.1,109,60,16,10,9,5,18,W,Round 14,A
Lioneers,2022/12/31,Dreamers,97 - 102,29 - 66,43.94,6 - 23,26.09,26 - 32,81.25,102,56,19,11,5,2,21,W,Round 15,A
Lioneers,2023/1/1,Pilots,105 - 90,22 - 47,46.81,12 - 33,36.36,10 - 23,43.48,90,42,18,15,10,3,21,L,Round 16,H
